NinjaScript File,Error,Code,Line,Column,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.RequestCompile(string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.RequestCompile(string)',CS0121,214,13,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.RunDeployHook(string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.RunDeployHook(string)',CS0121,215,13,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.configDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.configDir',CS0229,221,44,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,223,13,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,225,48,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,232,44,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,236,13,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.hooksDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.hooksDir',CS0229,243,44,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,246,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,257,17,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,261,17,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir',CS0229,269,42,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir',CS0229,272,43,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir',CS0229,273,47,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.InitializePaths()' and 'CG_NT8_AutoDeployer_AddOn_v0_1.InitializePaths()',CS0121,69,21,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.StartWatcher()' and 'CG_NT8_AutoDeployer_AddOn_v0_1.StartWatcher()',CS0121,70,21,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,71,21,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,75,21,
