NinjaScript File,Error,Code,Line,Column,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ShortGateMinEMASeparation' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ShortGateMinEMASeparation',CS0229,303,42,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseShortGate' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseShortGate',CS0229,304,37,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BarIntervalMinutes' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BarIntervalMinutes',CS0229,307,44,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.FastEMA' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.FastEMA',CS0229,322,38,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.SlowEMA' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.SlowEMA',CS0229,322,54,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.RTHOnly' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.RTHOnly',CS0229,323,31,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseTrailingStops' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseTrailingStops',CS0229,324,37,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.lastResetDate' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.lastResetDate',CS0229,329,9,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,The call is ambiguous between the following methods or properties: 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ResetDailyTracking()' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ResetDailyTracking()',CS0121,331,6,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BarIntervalMinutes' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BarIntervalMinutes',CS0229,336,22,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.hardLimitHit' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.hardLimitHit',CS0229,353,8,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.weeklyLimitHit' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.weeklyLimitHit',CS0229,353,24,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.lastResetDate' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.lastResetDate',CS0229,357,8,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,The call is ambiguous between the following methods or properties: 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ResetDailyTracking()' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ResetDailyTracking()',CS0121,359,5,
