entry_time,exit_time,direction,regime,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-17 11:37:40,2025-10-17 11:37:50,short,choppy,24710.0,24711.25,-10.0,10,choppy_breakout_ask@24710.75,stop_loss
2025-10-17 11:38:00,2025-10-17 11:38:01,short,choppy,24706.0,24707.25,-10.0,1,choppy_breakout_ask@24710.75,stop_loss
2025-10-17 11:38:10,2025-10-17 11:38:13,long,choppy,24712.25,24711.0,-10.0,3,choppy_breakout_bid@24703.00,stop_loss
2025-10-17 11:38:20,2025-10-17 11:38:23,long,choppy,24709.5,24712.0,20.0,3,choppy_breakout_bid@24703.00,profit_target
2025-10-17 11:38:55,2025-10-17 11:39:12,short,choppy,24707.5,24705.0,20.0,17,choppy_breakout_ask@24709.25,profit_target
2025-10-17 11:39:15,2025-10-17 11:39:17,short,choppy,24702.5,24700.0,20.0,2,choppy_breakout_ask@24709.25,profit_target
2025-10-17 11:39:20,2025-10-17 11:39:23,short,choppy,24701.25,24702.5,-10.0,3,choppy_breakout_ask@24709.25,stop_loss
2025-10-17 11:40:25,2025-10-17 11:40:30,long,choppy,24708.5,24707.25,-10.0,5,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:40:50,2025-10-17 11:40:56,long,choppy,24705.75,24704.5,-10.0,6,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:41:10,2025-10-17 11:41:17,long,choppy,24705.5,24704.25,-10.0,7,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:41:55,2025-10-17 11:41:56,long,choppy,24710.75,24709.5,-10.0,1,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:42:45,2025-10-17 11:42:51,long,choppy,24714.75,24717.25,20.0,6,choppy_breakout_bid@24706.00,profit_target
2025-10-17 11:43:05,2025-10-17 11:43:10,long,choppy,24721.0,24719.75,-10.0,5,choppy_breakout_bid@24709.00,stop_loss
2025-10-17 11:43:20,2025-10-17 11:43:26,long,choppy,24720.0,24718.75,-10.0,6,choppy_breakout_bid@24707.50,stop_loss
2025-10-17 11:44:50,2025-10-17 11:44:52,long,choppy,24718.25,24717.0,-10.0,2,choppy_breakout_bid@24716.75,stop_loss
2025-10-17 11:45:00,2025-10-17 11:45:02,long,choppy,24707.5,24706.25,-10.0,2,choppy_breakout_bid@24716.75,stop_loss
2025-10-17 11:45:15,2025-10-17 11:45:17,long,choppy,24702.75,24701.5,-10.0,2,choppy_breakout_bid@24710.00,stop_loss
2025-10-17 11:45:40,2025-10-17 11:45:43,long,choppy,24706.5,24705.25,-10.0,3,choppy_breakout_bid@24710.00,stop_loss
2025-10-17 11:46:00,2025-10-17 11:46:07,long,choppy,24702.25,24701.0,-10.0,7,choppy_breakout_bid@24710.00,stop_loss
